adult,backdrop_path,domestic_gross,domestic_openening,duration_minutes,genre_ids,id,imdb_id,international_gross,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,worldwide_gross
False,/au3o84ub27qTZiMiEc9UYzN74V3.jpg,2173076.0,1216578.0,91.0,"[28, 878, 53]",912649,tt23558280,465339.0,en,Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,109.708,/uQhYBxOVFU6s9agD49FnGHwJqG5.jpg,2024-11-07 00:00:00,Elevation,False,7.3,12,2638415.0
False,/lrtSb1skJayPydZk0OSMAKjBOVe.jpg,172076928.0,27788331.0,136.0,"[28, 878]",912649,tt0133093,295359711.0,en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",106.271,/p96dm7sCMn4VYAStA6siNz30G1r.jpg,1999-03-31 00:00:00,The Matrix,False,8.218,25602,467840449.0
False,/k0hlAzTryCYX1O1LyC6P8tAa8s0.jpg,203605622.0,91608337.0,142.0,"[28, 12, 878]",912649,tt1872181,513260716.0,en,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",93.253,/kV61FAIsRWZP6JhgWFOKug9RbBx.jpg,2014-04-16 00:00:00,The Amazing Spider-Man 2,False,6.5,13172,716891708.0
False,/5uIttXZuJ1g3eXJ6yc3Obrd3G3a.jpg,34553225.0,661230.0,141.0,"[878, 10749, 35]",912649,tt14230458,83072230.0,en,Poor Things,"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",111.794,/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg,2023-12-08 00:00:00,Poor Things,False,7.7,4139,117625455.0
False,/o9uMF84ZAGBqRxbliFCTgw0vQYv.jpg,,,90.0,"[10749, 35, 18]",912649,tt21308736,,tr,Rüyanda Görürsün,"You know the feeling. It feels like time slows down as your eyes meet a stranger’s. Then you walk pass each other, neither of you looking back. That’s what happened with Pelin and Engin. Lo and behold, they open their eyes in the same bed. And you may want to brace yourself for this one, as a two-year married couple! It must be a dream. No, a nightmare. But now, to wake up they must fall in love.",111.804,/rZe2lT3G9C7JrwB7Avu22mVhqFw.jpg,,In Your Dreams,False,7.3,85,
False,/4f0Kj0QwPui5ydu1UavsnvP1m1o.jpg,85468508.0,27319677.0,127.0,"[28, 878, 18]",912649,tt0433035,213800000.0,en,Real Steel,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",105.722,/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,2011-10-05 00:00:00,Real Steel,False,7.029,8270,299268508.0
False,/45kRTSFsRqOmmkSVJjgOE0XVPEQ.jpg,,,88.0,[27],912649,tt32916093,,en,Mr. Crocket,"A single mother thinks she's found the key to calming her child down – a VHS copy of a strange children's program named Mr. Crocket's World. However, a darker, bloodier secret waits to invade their home from inside the tape.",123.917,/iAdZ3mvoX8VaIRDQTFbRz5fvWOO.jpg,,Mr. Crocket,False,5.1,53,
False,/wdwcOBMkt3zmPQuEMxB3FUtMio2.jpg,408084349.0,179139142.0,147.0,"[12, 28, 878]",912649,tt3498820,746962067.0,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",94.952,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,2016-04-27 00:00:00,Captain America: Civil War,False,7.444,22609,1155046416.0
False,/sqfam7wEpmyG9Fx0AdVQYrLcIfy.jpg,,,99.0,"[53, 80, 18]",912649,tt31227161,,es,Príncipes salvajes,"A group of wealthy teenagers commit crimes that escalate from petty mischief to dangerous plots, causing chaotic consequences — but not for themselves.",92.568,/iEe9RODlNgobupiksZ2vE4TZwUg.jpg,,Untamed Royals,False,6.3,80,
False,/oZDRuGHhe5uY8wBqFJcJZT9kdvJ.jpg,19071404.0,7003537.0,102.0,"[27, 9648, 53]",912649,tt26736843,14200000.0,en,The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",82.535,/vZVEUPychdvZLrTNwWErr9xZFmu.jpg,2024-06-05 00:00:00,The Watchers,False,6.5,1015,33271404.0
