,id,overview,popularity,release_date,title,vote_average,vote_count,budget,genres,imdb_id,production_companies,production_countries,runtime,tagline,spoken_languages,domestic_opening,domestic_gross,asia_pacific_opening,asia_pacific_gross,europe_middle_east_and_africa_opening,europe_middle_east_and_africa_gross,latin_america_opening,latin_america_gross,domestic,international,worldwide
361,341174,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together.",104.577,2017-02-08,Fifty Shades Darker,6.485,7586,55000000,"Drama, Romance",tt4465564,"Universal Pictures, Michael De Luca Productions, dentsu, Fuji Television Network, Perfect World Pictures","Japan, United States of America",118,Every fairy tale has a dark side.,English,46607250.0,114581250.0,16428518.0,40243782.0,58418169.0,180941780.0,16387264.0,42501548.0,114581250.0,266964596.0,381545846.0
362,838209,"After tracing the origin of a disturbing supernatural affliction to a wealthy family's ancestral gravesite, a team of paranormal experts relocates the remains—and soon discovers what happens to those who dare to mess with the wrong grave.",79.509,2024-02-22,Exhuma,7.6,377,0,"Mystery, Horror, Thriller",tt27802490,"Showbox, MCMC, Pinetown Production",South Korea,134,The vicious emerges,"English, 日本語, 한국어/조선말",60512.0,2310900.0,17857692.0,95033102.0,62119.0,75031.0,281416.0,562277.0,2310900.0,95670410.0,97981310.0
363,4348,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",63.4,2005-09-16,Pride & Prejudice,8.1,8006,28000000,"Drama, Romance",tt0414387,Working Title Films,United Kingdom,127,A romance ahead of its time.,English,2804000.0,38405088.0,2253833.0,18243149.0,9185293.0,61920914.0,77927.0,3047404.0,38405088.0,83211467.0,121616555.0
364,820232,"A recap of Kimetsu no Yaiba episodes 1–5, with new footage and special end credits. Tanjiro Kamado returns home to find his family slaughtered and the lone survivor, his sister Nezuko, turned into a Demon. To his surprise, however, Nezuko still shows signs of human emotion and thought. Thus begins Tanjiro's journey to seek out the Demon who killed their family and turn his sister human again.",65.63,2019-03-29,Demon Slayer: Kimetsu no Yaiba – Sibling's Bond,7.9,205,0,"Animation, Action, Fantasy, Thriller",tt14888860,ufotable,Japan,105,,日本語,,,249665.0,480522.0,,,,,0.0,480522.0,480522.0
365,119450,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",66.743,2014-07-08,Dawn of the Planet of the Apes,7.3,11353,170000000,"Science Fiction, Action, Drama, Thriller",tt2103281,"TSG Entertainment, Chernin Entertainment, Ingenious Media, 20th Century Fox","United Kingdom, United States of America",130,One last chance for peace.,English,72611427.0,208545589.0,38755838.0,105876531.0,48399281.0,165594469.0,21530294.0,77124141.0,208545589.0,502098977.0,710644566.0
366,228326,"The journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.",60.089,2014-10-01,The Book of Life,7.5,2675,50000000,"Animation, Adventure, Comedy, Family, Fantasy",tt2262227,"Reel FX Creative Studios, 20th Century Fox Animation, Chatrone",United States of America,95,,English,17005218.0,50151543.0,1271667.0,3130519.0,3413646.0,14620337.0,6528744.0,24166060.0,50151543.0,49632013.0,99783556.0
367,436270,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",83.106,2022-10-19,Black Adam,6.9,6237,200000000,"Action, Adventure, Science Fiction",tt6443346,"New Line Cinema, Flynn Picture Company, DC Films, Seven Bucks Productions, Warner Bros. Pictures",United States of America,125,The world needed a hero. It got Black Adam.,English,67004323.0,168152111.0,19068222.0,49107161.0,26506999.0,90885156.0,9282592.0,34780443.0,168152111.0,225300000.0,393452111.0
368,11351,"When their bus is crippled on the side of a deserted road, a team of high school athletes discover an opponent they cannot defeat – and may not survive.",103.408,2003-08-08,Jeepers Creepers 2,6.153,1630,17000000,"Horror, Thriller",tt0301470,"Jeepers Creepers II, United Artists, American Zoetrope, Myriad Pictures, Metro-Goldwyn-Mayer",United States of America,104,He can taste your fear.,English,15269324.0,35667218.0,98000.0,2018719.0,2199335.0,9781478.0,0.0,1850837.0,35667218.0,27435448.0,63102666.0
369,62177,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",64.561,2012-06-21,Brave,7.021,13310,185000000,"Animation, Adventure, Comedy, Family, Action, Fantasy",tt1217209,"Walt Disney Pictures, Pixar",United States of America,93,Change your fate.,English,66323594.0,237283207.0,14691056.0,64412503.0,24174724.0,146287178.0,16033679.0,73939836.0,237283207.0,301700000.0,538983207.0
370,98566,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",64.204,2014-08-07,Teenage Mutant Ninja Turtles,5.9,6749,125000000,"Science Fiction, Action, Adventure, Comedy",tt1291150,"Nickelodeon Movies, Paramount Pictures, Platinum Dunes, Mirage Studios, Gama Entertainment Partners, Mednick Productions, Heavy Metal",United States of America,101,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,English,65575105.0,191204754.0,26941829.0,74211108.0,26473931.0,78151715.0,18733650.0,59762399.0,191204754.0,293800000.0,485004754.0
