adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget,genres,imdb_id,production_companies,production_countries,revenue,runtime,status,tagline,spoken_languages,domestic_opening,domestic_gross,asia_pacific_opening,asia_pacific_gross,europe_middle_east_and_africa_opening,europe_middle_east_and_africa_gross,latin_america_opening,latin_america_gross,china_opening,china_gross,domestic,international,worldwide,by_release_opening,by_release_gross,by_region_opening,by_region_gross
False,/hX9KuZQjZXrleVALumaNb6HJJ6M.jpg,"[18, 10749]",890322,ja,桜のような僕の恋人,"Haruto Asakura falls in love with hairdresser Misaki Ariake and asks her out. Watching Misaki Ariake work hard to achieve what she wants, Haruto Asakura, who almost gave up his dream to become a photographer, begins to pursue his dream again, but Misaki Ariake is diagnosed with a disease that ages her 10x faster than normal.",27.535,/8m2xnZAnMuydc87KCLS2gnUmidh.jpg,2022-03-24,Love Like the Falling Petals,False,7.9,82,0,"Drama, Romance",tt14227972,TOHO,Japan,0,128,Released,,日本語,,,,,,,,,,,0.0,0.0,0.0,,,,
False,/8GvOQSjztqy3M2Oe9KzeSsxFYcO.jpg,"[16, 28, 878]",39324,ja,ドラゴンボールZ・絶望への反抗!!残された超戦士・悟飯とトランクス,It has been thirteen years since the Androids began their killing rampage and Son Gohan is the only person fighting back. He takes Bulma's son Trunks as a student and even gives his own life to save Trunks's. Now Trunks must figure out a way to change this apocalyptic future,27.535,/5P7okfMZT5pboVdtTydv7yE0n7R.jpg,1993-02-24,Dragon Ball Z: The History of Trunks,False,7.6,531,0,"Animation, Action, Science Fiction",tt0142247,"Fuji Television Network, Toei Company",Japan,0,48,Released,,日本語,,,,,,,,,,,0.0,0.0,0.0,,,,
False,/bIA65PCRtIQfBvIoKohJbtOPl3M.jpg,"[28, 35, 80]",96,en,Beverly Hills Cop II,"Axel Foley returns to the land of sunshine and palm trees to investigate the near-fatal shooting of police Captain Andrew Bogomil. With the help of Sgt. Taggart and Det. Rosewood, they soon uncover that the shooting is associated with a series of ""alphabet"" robberies masterminded by a heartless weapons kingpin—and the chase is on.",27.528,/egDakU8O5yUwpUJP9IMAUVtIDll.jpg,1987-05-18,Beverly Hills Cop II,False,6.507,2509,28000000,"Action, Comedy, Crime",tt0092644,"Eddie Murphy Productions, Paramount Pictures, Don Simpson/Jerry Bruckheimer Films",United States of America,299965036,103,Released,Axel Foley is back. Back where he doesn't belong.,English,26348555.0,153665036.0,0.0,14619155.0,0.0,18405318.0,0.0,1432401.0,,,153665036.0,146300000.0,299965036.0,,,,
False,/5B22eed7ErxFiYAG4Ksb4eLwKNF.jpg,"[10751, 16, 12, 35]",770254,en,Back to the Outback,"Tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of Australia’s deadliest creatures plot an escape from their zoo to the Outback, a place where they’ll fit in without being judged.",27.527,/jbAUTO7qFN8XFG2LM3bz30vzGFJ.jpg,2021-12-03,Back to the Outback,False,7.714,721,0,"Family, Animation, Adventure, Comedy",tt13575806,Netflix,United States of America,0,92,Released,Dangerously cute and on the loose,English,,,,,,,,,,,0.0,0.0,0.0,,,,
False,/uRV4PZPsWP2osk4QBZiWxIuSOHe.jpg,"[14, 35]",1189198,en,Genie,"Flora, a genie trapped for more than 2,000 years inside an antique jewelry box, is accidentally called to service by Bernard, whose life is unraveling around him.",27.525,/ykkVuQgvjrVWiEe7TvUQZOrLUgC.jpg,2023-11-22,Genie,False,6.8,159,0,"Fantasy, Comedy",tt24429218,"Working Title Films, Working Title Films","United Kingdom, United States of America",0,93,Released,,English,,,,,83767.0,333526.0,,,,,0.0,333526.0,333526.0,,,,
False,,"[53, 80]",1274311,ml,ഒരു  അന്വേഷണത്തിന്റ്റെ തുടക്കം,,27.513,/A1c7oLH1ngGYFyFoFhdMzAaRXAa.jpg,2024-11-08,Oru Anweshanathinte Thudakkam,False,0.0,0,0,"Thriller, Crime",tt33509307,,,0,181,Released,,,,,,,,,,,,,0.0,0.0,0.0,,,,
False,/oTbIfHSLNxi9ihV6SG4K6jZ2PvM.jpg,"[28, 53, 80]",15092,en,Crank: High Voltage,Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker that requires regular jolts of electricity to keep working.,27.511,/tzTC4EEvF0OPL63frEiogxL2T8M.jpg,2009-04-16,Crank: High Voltage,False,6.076,2802,20000000,"Action, Thriller, Crime",tt1121931,"Lionsgate, Lakeshore Entertainment, RadicalMedia",United States of America,34600000,96,Released,He was dead...but he got better.,English,6963565.0,13684249.0,4109598.0,7919326.0,5408349.0,12968966.0,,,,,13684249.0,20888292.0,34572541.0,,,,
False,/sDrYaCGIaTcXZvns04LjTtju0Vp.jpg,"[35, 10749]",1231953,en,Five Blind Dates,"More focused on her business than finding love, Lia is forced to go on five blind dates set up by her family and best friend after she is told by a fortune teller that her love life and the success of her tea shop are intertwined.",27.51,/nMFByoqAxTpiY7Irbvq4ugjjC0y.jpg,2024-02-12,Five Blind Dates,False,5.5,79,0,"Comedy, Romance",tt21236048,"Goalpost Pictures, Amazon MGM Studios","Australia, United States of America",0,84,Released,The key to success is found within.,English,,,,,,,,,,,0.0,0.0,0.0,,,,
False,/xXHtSqFx8mLjzNGX9oCKQEx2yTa.jpg,"[35, 10749]",3981,en,What Women Want,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",27.503,/eqkBEMDk1316Yx5wVoabWY07JAi.jpg,2000-12-15,What Women Want,False,6.5,3914,70000000,"Comedy, Romance",tt0207201,"Paramount Pictures, Icon Productions, Wind Dancer Films, Icon Entertainment International","United Kingdom, United States of America",374100000,127,Released,He has the power to hear everything women are thinking. Finally... a man is listening.,"English, Français",33614543.0,182811707.0,2841555.0,11689023.0,12815937.0,65220986.0,,,,,182811707.0,191300000.0,374111707.0,,,,
False,/81ME78JndOYu7IluTi1rxh0cLY2.jpg,[18],25793,en,Precious,"Set in Harlem in 1987, Claireece ""Precious"" Jones is a 16-year-old African American girl born into a life no one would want. She's pregnant for the second time by her absent father; at home, she must wait hand and foot on her mother, an angry woman who abuses her emotionally and physically. School is chaotic and Precious has reached the ninth grade with good marks and a secret; She can't read.",27.495,/d4ltLIDbvZskSwbzXqi0Hfv5ma4.jpg,2009-11-06,Precious,False,7.319,1610,10000000,Drama,tt0929632,"Smokewood Entertainment Group, Lee Daniels Entertainment",United States of America,47536959,110,Released,We are all precious,"English, Italiano",1872458.0,47566524.0,412223.0,2104401.0,2643050.0,11197705.0,468438.0,2780899.0,,,47566524.0,16083005.0,63649529.0,,,,
