popularity,title,vote_average,vote_count,budget,imdb_id,runtime,years_from_release,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,domestic,international,worldwide
65.627,65,5.984,2353,45000000,tt12261776,92,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,32062904.0,28667664.0,60730568.0
47.647,Thanksgiving,6.6,1195,15000000,tt1448754,106,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,31908884.0,14644396.0,46553280.0
80.083,My Spy,6.89,1223,18000000,tt8242084,99,4,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,10200000.0,10200000.0
72.837,Rambo: Last Blood,6.544,3864,50000000,tt1206885,89,5,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,44819352.0,46671001.0,91490353.0
50.074,Virgin Territory,4.81,315,38000000,tt0437954,93,17,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,5410749.0,5410749.0
54.068,Pinocchio,7.1,5811,2600000,tt0032910,88,84,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,84254167.0,37637878.0,121892045.0
57.044,Good Boy,6.441,270,8500,tt19705884,80,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0,51876.0,51876.0
57.038,Scream 4,6.464,3693,40000000,tt1262416,111,13,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,38180928.0,59050492.0,97231420.0
56.991,The Texas Chainsaw Massacre,6.3,2608,9500000,tt0324216,98,21,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,80571655.0,26792250.0,107364583.0
56.947,The Purge: Anarchy,6.643,6367,9000000,tt2975578,104,10,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,71962800.0,39965565.0,111928365.0
56.915,The Matrix Reloaded,7.052,10907,150000000,tt0234215,138,21,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,281576461.0,460271476.0,741847937.0
56.882,Van Helsing,6.4,5963,160000000,tt0338526,132,20,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,120177084.0,179980554.0,300157638.0
56.777,RRR,7.7,1295,69000000,tt8178634,185,2,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,15156051.0,151446943.0,166602994.0
56.752,Once Upon a Time in America,8.418,5381,30000000,tt0087843,229,40,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,5321508.0,153310.0,5475540.0
56.717,The Roundup,7.2,299,7600000,tt15838850,106,2,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,812859.0,100353848.0,101166707.0
56.66,In Time,7.0,11322,40000000,tt1637688,109,13,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,37520095.0,136410501.0,173930596.0
56.525,Speed,7.141,6120,30000000,tt0111257,116,30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,121248145.0,229200000.0,350448145.0
56.47,Summer Camp,5.0,16,10000000,tt26928684,96,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2403638.0,241230.0,2644868.0
56.384,The SpongeBob Movie: Sponge on the Run,7.5,2839,60000000,tt4823776,95,4,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4810790.0,0.0,4810790.0
56.299,Kingdom of Heaven,7.0,4242,130000000,tt0320661,144,19,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,47398413.0,170724214.0,218237071.0
56.265,Jeepers Creepers,6.468,2984,10000000,tt0263488,90,23,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,37904175.0,21467128.0,59371303.0
56.257,Man on Fire,7.463,5077,70000000,tt0328107,146,20,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,77911774.0,52923078.0,130834852.0
56.231,M3GAN,7.1,4013,12000000,tt8760708,102,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,95159005.0,84930104.0,180089109.0
56.224,Blade,6.803,5983,45000000,tt0120611,121,26,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,70087718.0,61123659.0,131211897.0
56.158,The Island,6.7,5333,126000000,tt0399201,136,19,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,35818913.0,127130251.0,162949164.0
