id,original_title,popularity,release_date,title,vote_average,vote_count,budget,imdb_id,production_companies,production_countries,runtime,domestic_opening,asia_pacific_opening,europe_middle_east_and_africa_opening,domestic,international,worldwide,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western
618588,Arthur the King,40.405,2024-03-15,Arthur the King,7.8,642,19000000,tt10720352,"Entertainment One, Tucker Tooley Entertainment, Municipal Pictures, Atmosphere Entertainment MM","Canada, United States of America",107,7633898.0,505484.0,1066135.0,25049006.0,15780132.0,40829138.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
460458,Resident Evil: Welcome to Raccoon City,65.338,2021-11-24,Resident Evil: Welcome to Raccoon City,6.0,2431,25000000,tt6920084,"Constantin Film, Davis Films, Screen Gems","France, Germany, United States of America",107,5319280.0,2316461.0,2768856.0,17000612.0,24914303.0,41914915.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61791,Rise of the Planet of the Apes,54.068,2011-08-03,Rise of the Planet of the Apes,7.3,11833,93000000,tt1318514,"Dune Entertainment, Chernin Entertainment, Ingenious Media, Big Screen Productions, 20th Century Fox","United Kingdom, United States of America",105,54806191.0,25683037.0,36390022.0,176760185.0,305040688.0,481800873.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1620,Hitman,91.346,2007-11-21,Hitman,6.135,3295,24000000,tt0465494,"EuropaCorp, Charles Gordon Productions, Adrian Askarieh Productions","France, United States of America",94,13180769.0,6068708.0,9960188.0,39687694.0,61588624.0,101276318.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
254,King Kong,90.866,2005-12-12,King Kong,6.89,7824,207000000,tt0360717,"Universal Pictures, WingNut Films, Big Primate Pictures, MFPV Film","New Zealand, United States of America, Germany",187,50130145.0,13145461.0,27470809.0,218080025.0,338826353.0,556906378.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
400535,Sicario: Day of the Soldado,54.709,2018-06-27,Sicario: Day of the Soldado,6.924,3542,35000000,tt5052474,"Thunder Road, Black Label Media, Columbia Pictures, Lionsgate, Redrum","Mexico, United States of America",122,19007566.0,3667906.0,4754494.0,50072235.0,25765508.0,75837743.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
335787,Uncharted,90.51,2022-02-10,Uncharted,6.9,5926,120000000,tt1464335,"Columbia Pictures, Atlas Entertainment, PlayStation Productions, Arad Productions",United States of America,116,44010155.0,14095747.0,26887902.0,148648820.0,258492438.0,407141258.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14574,The Boy in the Striped Pyjamas,59.198,2008-05-07,The Boy in the Striped Pyjamas,7.8,7112,12500000,tt0914798,"BBC Film, Miramax, Heyday Films","United Kingdom, United States of America",94,253085.0,616526.0,4626878.0,9046156.0,31370407.0,40416563.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
339403,Baby Driver,64.614,2017-06-28,Baby Driver,7.45,15630,34000000,tt3890160,"Big Talk Studios, Working Title Films, Working Title Films","United Kingdom, United States of America",113,20553320.0,13420705.0,14716708.0,107825862.0,119119225.0,226945087.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9902,Wrong Turn,64.506,2003-05-30,Wrong Turn,6.355,2683,12600000,tt0295700,"DCP Wrong Turn Productions, Summit Entertainment, Regency Enterprises, Media Cooperation One, Constantin Film, 20th Century Fox, Don Carmody Productions","Canada, Germany, United States of America",84,5161498.0,0.0,798755.0,15418790.0,13231785.0,28650575.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
